Numéro d'école;Latitude;Longitude;
0520995Z;48.1596957;5.5490506;Huilliécourt, Chaumont, Haute-Marne, Grand Est, France métropolitaine, 52150, France
0521020B;48.45828;5.13999;Vecqueville, Saint-Dizier, Haute-Marne, Grand Est, France métropolitaine, 52300, France
0270396J;48.95917;1.29153;Saint-Germain-de-Fresney, Évreux, Eure, Normandie, France métropolitaine, 27220, France
0510366W;49.1373278;4.3660294;Mourmelon-le-Grand, Châlons-en-Champagne, Marne, Grand Est, France métropolitaine, 51400, France
0510629G;48.9566218;4.3628851;Châlons-en-Champagne, Marne, Grand Est, France métropolitaine, 51000, France
0922522S;48.9026;2.30551;Clichy, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92110, France
0631506V;45.893068;3.1136667;Riom, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63200, France
0271348U;49.2469193;1.4215534;Les Andelys, Eure, Normandie, France métropolitaine, 27700, France
0271493B;48.94946;1.30414;Fresney, Évreux, Eure, Normandie, France métropolitaine, 27220, France
0280211C;48.0827574;1.7408966;Terminiers, Châteaudun, Eure-et-Loir, Centre-Val de Loire, France métropolitaine, 28140, France
0511586X;49.1514315;4.2514192;Sept-Saulx, Reims, Marne, Grand Est, France métropolitaine, 51400, France
0511967L;48.8793138165297;3.59301958253128;Vauchamps, Grand Est, France métropolitaine, 51210, France
0220654S;48.4036054;-2.9112669;Quintin, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22800, France
0220690F;48.1960984;-2.98261825290943;Mûr-de-Bretagne, Guerlédan, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22530, France
0221477L;48.5245;-2.00563;Plouër-sur-Rance, Dinan, Côtes-d'Armor, Bretagne, France métropolitaine, 22490, France
0221604Z;48.7732657;-3.5187179;Pleumeur-Bodou, Lannion, Côtes-d'Armor, Bretagne, France métropolitaine, 22560, France
0301179U;43.6924382;4.2754772;Vauvert, Nîmes, Gard, Occitanie, France métropolitaine, 30600, France
0931314Y;48.9392142;2.5257254;Sevran, Le Raincy, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93270, France
0932067S;48.9031;2.48291;Bondy, Bobigny, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93140, France
0601124W;49.2093315;2.6964792;Montépilloy, Senlis, Oise, Hauts-de-France, France métropolitaine, 60810, France
0240182T;44.8456284;0.9082579;Le Buisson-de-Cadouin, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24480, France
0240274T;45.1872222;0.6922222;Coulounieix-Chamiers, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24660, France
0240307D;44.8534568;0.487531;Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24100, France
0240766C;45.1031082;1.366153;Grèzes, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24120, France
0240954G;44.8534568;0.487531;Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24100, France
0860375R;47.0116175;0.1762152;Messemé, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86200, France
0860383Z;46.1896443;0.687578;Millac, Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86150, France
0860402V;46.4249573;0.8682027;Montmorillon, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86500, France
0610072X;48.7428859;-0.0223695;Argentan, Orne, Normandie, France métropolitaine, 61200, France
0610662N;48.7513195;0.0754344795141468;Silly-en-Gouffern, Gouffern en Auge, Argentan, Orne, Normandie, France métropolitaine, 61310, France
0250481M;47.1387693;6.470813;Flangebouche, Pontarlier, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25390, France
0250591G;47.0611608;6.6690523;Villers-le-Lac, Pontarlier, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25130, France
0250811W;47.1848615;5.9903449;Pugey, Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25720, France
0251879G;47.5515894;6.6955773;Aibre, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25750, France
0560313L;47.7639726;-3.3444489;Lanester, Lorient, Morbihan, Bretagne, France métropolitaine, 56600, France
0560383M;47.96848;-2.98930101751241;Pluméliau, Pluméliau-Bieuzy, Pontivy, Morbihan, Bretagne, France métropolitaine, 56930, France
0560834C;48.0647729;-2.9675702;Pontivy, Morbihan, Bretagne, France métropolitaine, 56300, France
0860525D;47.0100270075767;0.175250970175021;Messemé, Nouvelle-Aquitaine, France métropolitaine, 86200, France
0860715K;46.5695048;0.6439464;Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86300, France
0861025X;46.5695048;0.6439464;Chauvigny, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86300, France
0861065R;46.7742953;0.5357531;Cenon-sur-Vienne, Châtellerault, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86530, France
0861104H;46.7376338;0.4293364;Beaumont, Poitiers, Vienne, Nouvelle-Aquitaine, France métropolitaine, 86490, France
0870247W;45.8354243;1.2644847;Limoges, Haute-Vienne, Nouvelle-Aquitaine, France métropolitaine, France
0290478M;48.3905283;-4.4860088;Brest, Finistère, Bretagne, France métropolitaine, 29200, France
0290564F;47.9960325;-4.1024782;Quimper, Finistère, Bretagne, France métropolitaine, 29000, France
0570333C;49.0588015;6.5489725;Elvange, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57690, France
0570416T;49.2806022;6.6317962;Villing, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57550, France
0880330F;48.3553014;5.6948571;Neufchâteau, Vosges, Grand Est, France métropolitaine, 88300, France
0881505H;47.9080754;6.7836381;Le Ménil, Épinal, Vosges, Grand Est, France métropolitaine, 88160, France
0881614B;48.1691519;6.5937861;Charmois-devant-Bruyères, Épinal, Vosges, Grand Est, France métropolitaine, 88460, France
0881665G;48.0914619;6.4782907;Hadol, Épinal, Vosges, Grand Est, France métropolitaine, 88220, France
0890309C;47.5188531;3.4847234;Andryes, Auxerre, Yonne, Bourgogne-Franche-Comté, France métropolitaine, 89480, France
0020556U;49.3973;3.46759;Condé-sur-Aisne, Soissons, Aisne, Hauts-de-France, France métropolitaine, 02370, France
0020687L;49.8302778;3.3555556;Mesnil-Saint-Laurent, Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02720, France
0020699Z;49.7705556;3.6166667;Monceau-le-Neuf-et-Faucouzy, Vervins, Aisne, Hauts-de-France, France métropolitaine, 02270, France
0020708J;49.1469;3.21981;Monnes, Soissons, Aisne, Hauts-de-France, France métropolitaine, 02470, France
0020874P;49.8486111;3.2863888;Saint-Quentin, Aisne, Hauts-de-France, France métropolitaine, 02100, France
0020961J;49.818009;3.605658;Landifay-et-Bertaignemont, Vervins, Aisne, Hauts-de-France, France métropolitaine, 02120, France
0442108C;47.2233007;-1.6346964;Saint-Herblain, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44800, France
0450262R;47.9027336;1.9086066;Orléans, Loiret, Centre-Val de Loire, France métropolitaine, France
6200677S;41.5921091;9.2761531;Porto-Vecchio, Sartène, Corse-du-Sud, Corse, France métropolitaine, 20137, France
0596638V;50.6305089;3.0706414;Lille, Nord, Hauts-de-France, France métropolitaine, France
0292242E;48.396318;-4.9568086;Île-Molène, Brest, Finistère, Bretagne, France métropolitaine, 29259, France
0460242N;44.4903014;1.3139099;Parnac, Cahors, Lot, Occitanie, France métropolitaine, 46140, France
0460340V;44.7789948;1.723394;Gramat, Gourdon, Lot, Occitanie, France métropolitaine, 46500, France
0600685U;49.3623895;2.4370282;Breuil-le-Vert, Clermont, Oise, Hauts-de-France, France métropolitaine, 60600, France
0100156R;48.3777152;4.2576617;Bouy-Luxembourg, Troyes, Aube, Grand Est, France métropolitaine, 10220, France
0100597V;48.1701298;4.6531196;Urville, Bar-sur-Aube, Aube, Grand Est, France métropolitaine, 10200, France
0100634K;48.1723292;4.0180216;Villery, Troyes, Aube, Grand Est, France métropolitaine, 10320, France
0100654G;48.3581785145717;4.11671430077492;Vailly, Grand Est, France métropolitaine, 10150, France
0210554N;47.0800061992585;4.15291736247929;Cussy-en-Morvan, Bourgogne-Franche-Comté, France métropolitaine, 21430, France
0210906W;47.07474;4.55911;Lacanche, Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21230, France
0470387R;44.4966624;0.9684626;Fumel, Villeneuve-sur-Lot, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47500, France
0370445H;47.3454102;0.3028581;Les Essards, Chinon, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37130, France
0440992P;47.2233007;-1.6346964;Saint-Herblain, Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, 44800, France
0540466N;48.4816397;6.7328844;Gélacourt, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54120, France
0101026L;48.2580873;4.031268;Saint-Germain, Troyes, Aube, Grand Est, France métropolitaine, 10120, France
0101075P;48.4465433;4.3564314;Pougy, Troyes, Aube, Grand Est, France métropolitaine, 10240, France
0110799J;43.1837661;3.0042121;Narbonne, Aude, Occitanie, France métropolitaine, 11100, France
0470890M;44.0276979;0.2904431;Lannes, Nérac, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47170, France
0371109E;47.2729908;0.5996983;Artannes-sur-Indre, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37260, France
0380214B;45.054713;6.0306625;Le Bourg-d'Oisans, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38520, France
0120260T;44.1736454879209;2.53652265308789;Cassagnes-Bégonhès, Occitanie, France métropolitaine, 12120, France
0120481H;43.8436;2.56773;Montfranc, Millau, Aveyron, Occitanie, France métropolitaine, 12380, France
0120913C;43.9268331;2.5472505;Plaisance, Millau, Aveyron, Occitanie, France métropolitaine, 12550, France
0190161X;45.1584982;1.5332389;Brive-la-Gaillarde, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19100, France
0490734G;47.3686301;-0.276740191358099;Le Thoureil, Gennes-Val-de-Loire, Saumur, Maine-et-Loire, Pays de la Loire, France métropolitaine, 49350, France
0381292Y;45.111331;5.278244;La Sône, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38840, France
0381893B;45.1836683;5.75448;Saint-Martin-d'Hères, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38400, France
0420280B;45.5002145;4.3203978;La Fouillouse, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42480, France
0420309H;46.1453805;4.1092319;Pouilly-sous-Charlieu, Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42720, France
0420790F;45.473408;4.3792689;Saint-Priest-en-Jarez, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42270, France
0421075R;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0190360N;45.3663548;1.7144158;Seilhac, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19700, France
0210535T;47.3524041095477;4.54551707971295;Saffres, Bourgogne-Franche-Comté, France métropolitaine, 21350, France
0210665J;47.66736;4.24459;Rougemont, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21500, France
0210787S;47.6241674;4.3373194;Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21500, France
0211008G;47.08379;4.62134;Écutigny, Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21360, France
0500497U;48.6474693;-0.942439;Mortain, Avranches, Manche, Normandie, France métropolitaine, 50140, France
0390290D;46.7604057;5.9402266;Équevillon, Lons-le-Saunier, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39300, France
0390449B;46.9318996;5.9662505;Dournon, Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39110, France
0390509S;46.6739021;5.5586167;Lons-le-Saunier, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39000, France
0390684G;46.367;5.70807;Jeurre, Saint-Claude, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39360, France
0422157S;45.4401467;4.3873058;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, France
0211412W;47.5255888;5.3695751;Fontaine-Française, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21610, France
0211728P;46.97703;4.8905;Sainte-Marie-la-Blanche, Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21200, France
0211912P;47.006553;5.2393965;Grosbois-lès-Tichey, Beaune, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21250, France
0460078K;44.7446944;1.4907273;Saint-Projet, Gourdon, Lot, Occitanie, France métropolitaine, 46300, France
0460313R;44.6642467;1.9518723;Fons, Figeac, Lot, Occitanie, France métropolitaine, 46100, France
0390934D;46.3877989;5.8641501;Saint-Claude, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39200, France
0460576B;44.7847558;1.8999269;Leyme, Figeac, Lot, Occitanie, France métropolitaine, 46120, France
0501849N;49.6343606;-1.62856869074902;Cherbourg-Octeville, Cherbourg-en-Cotentin, Cherbourg, Manche, Normandie, France métropolitaine, France
0595308Z;50.2002502;3.8336383;Aulnoye-Aymeries, Avesnes-sur-Helpe, Nord, Hauts-de-France, France métropolitaine, 59620, France
0510576Z;49.2577886;4.031926;Reims, Marne, Grand Est, France métropolitaine, 51100, France
0510968A;49.0475991;4.08816616780357;Bisseuil, Aÿ-Champagne, Épernay, Marne, Grand Est, France métropolitaine, 51150, France
0511908X;48.68266;3.80144;Gaye, Épernay, Marne, Grand Est, France métropolitaine, 51120, France
0595764V;50.5732932;3.0823682;Vendeville, Lille, Nord, Hauts-de-France, France métropolitaine, 59175, France
0600128N;49.1754147;1.9019139;Bouconvillers, Beauvais, Oise, Hauts-de-France, France métropolitaine, 60240, France
0600148K;49.2413145823151;1.88573310860713;Liancourt-Saint-Pierre, Hauts-de-France, France métropolitaine, 60240, France
0600166E;49.151971;2.9837989;Antilly, Senlis, Oise, Hauts-de-France, France métropolitaine, 60620, France
0600281E;49.6309601517763;2.30825410992372;Breteuil, Hauts-de-France, France métropolitaine, 60120, France
0070135J;44.447247261799;4.09651757719874;Les Salelles, Auvergne-Rhône-Alpes, France métropolitaine, 07140, France
0070353W;44.5493789;4.6829629;Le Teil, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07400, France
0071324B;45.1891;4.79833;Sarras, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07370, France
0080216S;49.79756;4.6754;Damouzy, Charleville-Mézières, Ardennes, Grand Est, France métropolitaine, 08090, France
0520619R;48.177014;5.1516194;Riaucourt, Chaumont, Haute-Marne, Grand Est, France métropolitaine, 52000, France
0520824N;48.6668291;4.8977944;Villiers-en-Lieu, Saint-Dizier, Haute-Marne, Grand Est, France métropolitaine, 52100, France
0342061F;43.6779101;3.9868904;Castries, Montpellier, Hérault, Occitanie, France métropolitaine, 34160, France
0350904T;48.0131094;-1.7023101;Pont-Péan, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35131, France
0470249R;44.4174761;0.398162730901894;Grateloup-Saint-Gayrand, Marmande, Lot-et-Garonne, Nouvelle-Aquitaine, France métropolitaine, 47400, France
0561525D;47.62798;-2.8229152;Arradon, Vannes, Morbihan, Bretagne, France métropolitaine, 56610, France
0561623K;47.7636187;-3.1194205;Landévant, Lorient, Morbihan, Bretagne, France métropolitaine, 56690, France
0080640C;49.91235;4.69169;Laifour, Charleville-Mézières, Ardennes, Grand Est, France métropolitaine, 08800, France
0211940V;47.28156;5.18971;Izier, Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21110, France
0220754A;48.3179354;-2.2620533;Broons, Dinan, Côtes-d'Armor, Bretagne, France métropolitaine, 22250, France
0220818V;48.38102515;-2.33228275857413;Dolo, Jugon-les-Lacs Commune nouvelle, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22270, France
0220898G;48.46244615;-2.51650229207986;Lamballe, Lamballe-Armor, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22400, France
0220914Z;48.2849898;-2.41256441182033;Langourla, Le Mené, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22330, France
0351837G;48.1244503;-1.214331;Vitré, Fougères-Vitré, Ille-et-Vilaine, Bretagne, France métropolitaine, 35500, France
0530295H;48.0710377;-0.7723499;Laval, Mayenne, Pays de la Loire, France métropolitaine, 53000, France
0480430G;44.3380133;3.22842731840373;Saint-Georges-de-Lévéjac, Massegros Causses Gorges, Florac, Lozère, Occitanie, France métropolitaine, 48500, France
0360555H;46.5790893;2.00521388557935;Le Moulin Buraud, La Châtre, Indre, Centre-Val de Loire, France métropolitaine, 36400, France
0221534Y;48.2880795;-2.1543918;Caulnes, Dinan, Côtes-d'Armor, Bretagne, France métropolitaine, 22350, France
0221633F;48.18859125;-2.58719821925169;Plémet, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22210, France
0221640N;48.24010935;-2.55527984239813;Saint-Gilles-du-Mené, Le Mené, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22330, France
0221826R;48.434473;-2.219882;Plélan-le-Petit, Dinan, Côtes-d'Armor, Bretagne, France métropolitaine, 22980, France
0240276V;45.336641;1.0490102;Excideuil, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24160, France
0421465P;45.6072875;4.0627318;Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42600, France
0371373S;47.3851411;0.5545862;Luynes, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37230, France
0371404A;47.2312241;0.2519958;Huismes, Chinon, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37420, France
0380196G;45.4912311;5.3866972;Biol, La Tour-du-Pin, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38690, France
0240388S;45.29233;0.74936;Agonac, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24460, France
0240583D;45.17838205;0.820409517428967;Bassillac, Bassillac et Auberoche, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24330, France
0240627B;45.3280556;0.3123791;Lusignac, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24320, France
0240715X;44.9081887;1.3397368;Simeyrols, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24370, France
0240753N;45.30813;0.81893;Ligueux, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24460, France
0240854Y;45.0145321;0.6472144;Saint-Maime-de-Péreyrol, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24380, France
0240968X;45.1872222;0.6922222;Coulounieix-Chamiers, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24660, France
0240985R;44.8704188;0.3742764;La Force, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24130, France
0430911G;45.1189171;3.9065257;Lavoûte-sur-Loire, Pays du Velay, Haute-Loire, Auvergne-Rhône-Alpes, France métropolitaine, 43800, France
0542180B;48.5101741;6.7682759;Reherrey, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54120, France
0542341B;48.6453022;6.8060775;Avricourt, Lunéville, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54450, France
0550789J;49.0548828295899;5.13310618266323;Lavoye, Grand Est, France métropolitaine, 55120, France
0251612S;47.5102368;6.7977564;Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25200, France
0370304E;47.5904923;0.9084166;Château-Renault, Loches, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37110, France
0370570U;47.2312241;0.2519958;Huismes, Chinon, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37420, France
0371380Z;47.4371991493408;0.372737234758632;Cléré-les-Pins, Centre-Val de Loire, France métropolitaine, 37340, France
0141839Y;49.3291667;-0.3886111;Saint-Aubin-sur-Mer, Caen, Calvados, Normandie, France métropolitaine, 14750, France
0150332E;45.2517313820506;2.55219363350221;Trizac, Auvergne-Rhône-Alpes, France métropolitaine, 15400, France
0150619S;44.9285441;2.4433101;Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15000, France
0381415G;45.5252114;4.8747841;Vienne, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38200, France
0381476Y;45.0758358;5.7715863;Vizille, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38220, France
0631289J;45.649908;3.7088801;Vertolaye, Ambert, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63480, France
0640564R;42.9750902;-0.6217117;Lées-Athas, Oloron-Sainte-Marie, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64490, France
0390618K;47.2224;5.53366;Montmirey-le-Château, Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39290, France
0160501H;45.4405085;-0.198012764899828;Montchaude, Montmérac, Cognac, Charente, Nouvelle-Aquitaine, France métropolitaine, 16300, France
0160510T;45.4709095;-0.1528288;Barbezieux-Saint-Hilaire, Cognac, Charente, Nouvelle-Aquitaine, France métropolitaine, 16300, France
0160587B;45.8735576;0.7188033;Chabanais, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16150, France
0160927W;45.6844514;0.5660516;Écuras, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16220, France
0160972V;45.9908656;0.4103041;Champagne-Mouton, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16350, France
0161026D;45.5296896;-0.2391385;Lachaise, Cognac, Charente, Nouvelle-Aquitaine, France métropolitaine, 16300, France
0170302L;45.7024509;-0.4921932;Dompierre-sur-Charente, Saintes, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17610, France
0390138N;46.75453515;5.55660302185966;Saint-Germain-lès-Arlay, Arlay, Lons-le-Saunier, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39210, France
0390933C;47.2047;5.68505;Gendrey, Dole, Jura, Bourgogne-Franche-Comté, France métropolitaine, 39350, France
0400652S;43.8911318;-0.500972;Mont-de-Marsan, Landes, Nouvelle-Aquitaine, France métropolitaine, 40000, France
0140286K;49.08899775;-0.198534850833071;Billy, Valambray, Caen, Calvados, Normandie, France métropolitaine, 14370, France
0140660S;48.9716102;-0.2475463;Potigny, Caen, Calvados, Normandie, France métropolitaine, 14420, France
0140679M;48.8965132;-0.1383265;Villy-lez-Falaise, Caen, Calvados, Normandie, France métropolitaine, 14700, France
0140686V;49.0174187;-0.1239755;Ernes, Caen, Calvados, Normandie, France métropolitaine, 14270, France
0141059A;48.82212835;-0.96880173694407;Saint-Manvieu-Bocage, Noues de Sienne, Vire, Calvados, Normandie, France métropolitaine, 14380, France
0141565A;49.1790863;-0.2672692;Démouville, Caen, Calvados, Normandie, France métropolitaine, 14840, France
0141659C;48.8517468;-0.887259445831838;Vire, Vire Normandie, Vire, Calvados, Normandie, France métropolitaine, 14500, France
0131829T;43.3015041;5.5480032858759;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France
0180320A;47.0805693;2.398932;Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18000, France
0420122E;46.1483;4.04227;La Bénisson-Dieu, Roanne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42720, France
0420319U;45.5288401;4.6187386;Rive-de-Gier, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42800, France
0420841L;45.5086864;4.0416546;Soleymieux, Montbrison, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42560, France
0160198D;45.3981244449386;0.110404189787165;Saint-Laurent-de-Belzagot, Nouvelle-Aquitaine, France métropolitaine, 16190, France
0160375W;45.608673;0.1013099;La Couronne, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16400, France
0160422X;45.7428942;-0.0910086;Vaux-Rouillac, Cognac, Charente, Nouvelle-Aquitaine, France métropolitaine, 16170, France
0160666M;46.0635586;0.2392556;Taizé-Aizie, Confolens, Charente, Nouvelle-Aquitaine, France métropolitaine, 16700, France
0160739S;45.5711281;-0.2667791;Verrières, Cognac, Charente, Nouvelle-Aquitaine, France métropolitaine, 16130, France
0160869H;45.6763498;0.2188754;Ruelle-sur-Touvre, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16600, France
0160892H;45.7009701;-0.3583546;Javrezac, Cognac, Charente, Nouvelle-Aquitaine, France métropolitaine, 16100, France
0170899K;45.517222;-0.826111;Chenac-Saint-Seurin-d'Uzet, Saintes, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17120, France
0630592B;45.8601819;3.4203664;Orléat, Thiers, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63190, France
0132749T;43.5569467;4.7295988;Arles, Provence-Alpes-Côte d'Azur, France métropolitaine, 13104, France
0631515E;45.855795;3.5489707;Thiers, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63300, France
0631749J;45.77246895;3.23889848098283;Dallet, Mur-sur-Allier, Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63111, France
0140131S;49.2210009;-0.6792915;Ellon, Bayeux, Calvados, Normandie, France métropolitaine, 14250, France
0140513G;49.1460831;0.2255168;Lisieux, Calvados, Normandie, France métropolitaine, 14100, France
0140647C;48.8909429900377;-0.172750936079535;Falaise, Normandie, France métropolitaine, 14700, France
0141019G;48.84902185;-0.565216636395482;Condé-sur-Noireau, Condé-en-Normandie, Vire, Calvados, Normandie, France métropolitaine, 14110, France
0141100V;48.8517468;-0.887259445831838;Vire, Vire Normandie, Vire, Calvados, Normandie, France métropolitaine, 14500, France
0141384D;49.2031097;-0.3353513;Hérouville-Saint-Clair, Caen, Calvados, Normandie, France métropolitaine, 14200, France
0141566B;48.8964741;-0.1999129;Falaise, Caen, Calvados, Normandie, France métropolitaine, 14700, France
0141656Z;49.2366859;-0.3262163;Biéville-Beuville, Caen, Calvados, Normandie, France métropolitaine, 14112, France
0800730J;50.1015635;1.4473006;Ault, Abbeville, Somme, Hauts-de-France, France métropolitaine, 80460, France
0561316B;47.8758768;-3.0199362;Baud, Pontivy, Morbihan, Bretagne, France métropolitaine, 56150, France
0141657A;48.9161569;-0.4822435;Clécy, Caen, Calvados, Normandie, France métropolitaine, 14570, France
0141679Z;49.1355556;-0.2941667;Soliers, Caen, Calvados, Normandie, France métropolitaine, 14540, France
0142129N;49.20141605;-0.836754924986576;Vaubadon, Balleroy-sur-Drôme, Bayeux, Calvados, Normandie, France métropolitaine, 14490, France
0142252X;49.1412393;-0.3506969;Ifs, Caen, Calvados, Normandie, France métropolitaine, 14123, France
0180286N;47.2217489;2.0691421;Vierzon, Cher, Centre-Val de Loire, France métropolitaine, 18100, France
0180414C;46.6664315;2.5522142;Ainay-le-Vieil, Saint-Amand-Montrond, Cher, Centre-Val de Loire, France métropolitaine, 18200, France
0180439E;46.6418114;2.2835591;Le Châtelet, Saint-Amand-Montrond, Cher, Centre-Val de Loire, France métropolitaine, 18170, France
0570360G;48.9808121;6.4664978;Vatimont, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57580, France
0570814A;49.1610367;6.8538444;Rosbruck, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57800, France
