Numéro d'école;Latitude;Longitude;
0142135V;49.3693155;0.274869;Genneville, Lisieux, Calvados, Normandie, France métropolitaine, 14600, France
0142157U;49.24874435;-0.602242244099141;Martragny, Moulins en Bessin, Bayeux, Calvados, Normandie, France métropolitaine, 14740, France
0150311G;45.0534808;2.1477305;Cros-de-Montvert, Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15150, France
0150425F;44.9285441;2.4433101;Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15000, France
0150692W;44.9642272;2.4898166;Saint-Simon, Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15130, France
0030330T;46.5660526;3.3331703;Moulins, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03000, France
0320585M;43.6463558;0.5850507;Auch, Gers, Occitanie, France métropolitaine, 32000, France
0550991D;48.6452957;5.3394095;Longeaux, Bar-le-Duc, Meuse, Grand Est, France métropolitaine, 55500, France
0160197C;45.3235749;0.1899025;Pillac, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16390, France
0030616D;46.1324239;3.4602736;Cusset, Vichy, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03300, France
0030740N;46.3464789733877;3.83059344224151;Le Donjon, Auvergne-Rhône-Alpes, France métropolitaine, 03130, France
0050153P;44.5642457;6.4957085;Embrun, Gap, Hautes-Alpes, Provence-Alpes-Côte d'Azur, France métropolitaine, 05200, France
0212101V;47.7797734;4.8607185;Recey-sur-Ource, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21290, France
0220484G;48.5141594;-2.7602707;Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22000, France
0560739Z;47.7119271;-3.3088391;Riantec, Lorient, Morbihan, Bretagne, France métropolitaine, 56670, France
0561415J;48.0647729;-2.9675702;Pontivy, Morbihan, Bretagne, France métropolitaine, 56300, France
0561725W;47.7477336;-3.3660907;Lorient, Morbihan, Bretagne, France métropolitaine, 56100, France
0570406G;49.2647432;6.6277712;Rémering, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57550, France
0060231U;43.8119541;7.3146204;Contes, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06390, France
0221474H;48.74957;-2.9855088;Plouézec, Guingamp, Côtes-d'Armor, Bretagne, France métropolitaine, 22470, France
0240180R;44.8106395;0.823878;Molières, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24480, France
0270336U;49.0738551;0.4619694;Saint-Mards-de-Fresne, Bernay, Eure, Normandie, France métropolitaine, 27230, France
0270365A;48.8995494;1.2329159;Les Authieux, Évreux, Eure, Normandie, France métropolitaine, 27220, France
0240296S;45.1909365;0.7184407;Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24000, France
0240301X;45.1970172;0.7835042;Trélissac, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France
0240313K;44.6312198;0.8725428;Biron, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24540, France
0240419A;45.336641;1.0490102;Excideuil, Nontron, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24160, France
