2015-2016;2016-2017;2017-2018;Académie;Adresse;Appellation officielle;Code département;Code postal;Commune;Département;Etat établissement;Latitude;Lieu dit;Longitude;Nombre d'élèves 2015-2016;Nombre d'élèves 2016-2017;Nombre d'élèves 2017-2018;Numéro d'école;Patronyme uai;Secteur d'enseignement;code région;libellé région;POPULATION;Inférieur à 500 hab ?;Inférieur à 2000 habs;Inférieur à 10000 habs
yes;no;no;AMIENS;14 rue des Annois;Ecole maternelle de Saint-Erme-Outre-et-Ramecourt;;2820.0;Saint-Erme-Outre-et-Ramecourt;;;;;;50.0;;;0021842S;;PUBLIC;32;Hauts-de-France;1883;0;1;1
yes;yes;no;NICE;Rue Honoré Passeron;Ecole maternelle Ricolfi 2;;6390.0;Contes;;;;;;70.0;74.0;;0061803C;;PUBLIC;93;Provence-Alpes-Côte-d'Azur;7279;0;0;1
yes;yes;no;GRENOBLE;42 boulevard Pasteur;Ecole élémentaire Teillaret;;7400.0;Le Teil;;;;;;42.0;37.0;;0070337D;;PUBLIC;84;Auvergne-et-Rhône-Alpes;8292;0;0;1
yes;no;no;GRENOBLE;Le village;Ecole primaire de Dornas;;7160.0;Dornas;;;;;;10.0;;;0071129P;;PUBLIC;84;Auvergne-et-Rhône-Alpes;243;1;1;1
yes;no;no;REIMS;1 rue Maurice Ravel;Ecole maternelle Camille Lassaux;;8300.0;Rethel;;;;;;40.0;;;0080488M;;PUBLIC;44;Grand-Est;7730;0;0;1
yes;no;no;REIMS;6 place de l'Abbé Haguenin;Ecole primaire d'Avaux;;8190.0;Avaux;;;;;;24.0;;;0080547B;;PUBLIC;44;Grand-Est;439;1;1;1
yes;no;no;CLERMONT-FERRAND;37 rue du Docteur Denis;Ecole maternelle Les Mimosas;;3000.0;Moulins;;;;;;119.0;;;0030843A;;PUBLIC;84;Auvergne-et-Rhône-Alpes;19474;0;0;0
yes;no;no;CLERMONT-FERRAND;Le bourg;Ecole maternelle de Neuvy;;3000.0;Neuvy;;;;;;44.0;;;0030949R;;PUBLIC;84;Auvergne-et-Rhône-Alpes;1557;0;1;1
yes;yes;no;CLERMONT-FERRAND;6 rue Couzenottes;Ecole maternelle de Jaligny-sur-Besbre;;3220.0;Jaligny-sur-Besbre;;;;;;29.0;24.0;;0031026Z;;PUBLIC;84;Auvergne-et-Rhône-Alpes;598;0;1;1
yes;no;no;AIX-MARSEILLE;Boulevard des Tilleuls;Ecole maternelle Les Tilleuls;;4100.0;Manosque;;;;;;67.0;;;0040205B;;PUBLIC;93;Provence-Alpes-Côte-d'Azur;22412;0;0;0
yes;yes;no;GUADELOUPE;2 rue des écoliers;Ecole primaire Gaston Calmet;;97160.0;Le Moule;;;;;;118.0;108.0;;9710239H;;PUBLIC;1;Guadeloupe;22456;0;0;0
