lat,lon,address,town,name,pop_count,closed
43.646355799999995,0.5850506999999999,Rue Ernest Vila,Auch,Ecole élémentaire Marianne,21962.0,2017
48.645295700000005,5.3394095,6 rue des Pressoirs,Longeaux,Ecole maternelle de Longeaux,229.0,2016
45.323574900000004,0.1899025,Le bourg,Pillac,Ecole de Pillac,270.0,2017
46.1324239,3.4602736000000003,10 rue Jean Epinat,Cusset,Ecole maternelle Les Darcins,13545.0,2017
46.3464789733877,3.8305934422415095,8 rue de la Mairie,Bert,Ecole élémentaire de Bert,256.0,2017
44.56424570000001,6.4957085,Boulevard Pasteur,Embrun,Ecole maternelle la Farandole,6123.0,2017
47.779773399999996,4.8607185,Place de l'Hôtel de Ville,Recey-sur-Ource,Ecole maternelle de Recey-sur-Ource,371.0,2016
48.5141594,-2.7602707000000004,2 rue de la corniche,Saint-Brieuc,Ecole maternelle Cesson Bourg,45331.0,2016
47.711927100000004,-3.3088391,2 impasse des écoles,Riantec,Ecole maternelle la Petite mer,5232.0,2017
48.0647729,-2.9675702,Rue des églantines,Pontivy,Ecole maternelle Marcel collet,13915.0,2017
47.747733600000004,-3.3660907,Rue de la Bollardière,Lorient,Ecole maternelle Kerfichant,57961.0,2017
49.264743200000005,6.6277712,14 rue de l'école,Rémering,Ecole élémentaire de Rémering,445.0,2016
43.8119541,7.3146204,Rue H.passeron,Contes,Ecole maternelle groupe Ricolfi 1,7279.0,2017
48.74957,-2.9855088,5 rue Yves Le Bitter,Plouézec,Ecole maternelle Marcel Le Roy,3259.0,2016
44.8106395,0.8238780000000001,Le bourg,Molières,Ecole élémentaire de Molières,323.0,2017
49.0738551,0.46196940000000003,Le bourg,Saint-Mards-de-Fresne,Ecole élémentaire de Saint-Mards-de-Fresne,352.0,2017
48.8995494,1.2329159,24 rue de l'Ecole,Les Authieux,Ecole élémentaire des Authieux,284.0,2017
45.1909365,0.7184406999999999,Rue Clos Chassaing,Périgueux,Ecole maternelle d'application Clos Chassaing,30036.0,2016
45.197017200000005,0.7835042,4 rue des Charmilles,Trélissac,Ecole maternelle Claudine Gerbeau,6836.0,2016
44.6312198,0.8725428,Le bourg,Biron,Ecole de Biron,188.0,2017
45.336641,1.0490102,8 boulevard André Dupuy,Excideuil,Ecole élémentaire d'Excideuil,1162.0,2016
45.138268100000005,0.752132860790254,9 rue Eugène Leroy,Atur,Ecole élémentaire d'Atur,1901.0,2017
48.0629678470786,3.91875099874401,9 Grande rue,Bernon,Ecole primaire de Bernon,191.0,2016
48.502765999999994,4.2738976,4 rue Jeanne d'Arc,Chaudrey,Ecole primaire de Chaudrey,155.0,2016
48.2701237,3.8071497,9 rue Eugénie Geoffroy,Estissac,Ecole maternelle d'Estissac,1902.0,2016
48.2088406,3.8914306000000005,5 Route d'Estissac,Bercenay-en-Othe,Ecole maternelle de Bercenay-en-Othe,450.0,2016
47.76351,2.0215,113 rue de Chantaloup,Marcilly-en-Villette,Ecole maternelle de Marcilly-en-Villette,2040.0,2016
48.2104339,2.0179646,Rue des écoles,Outarville,Ecole maternelle d'Outarville,1400.0,2016
44.5418304,1.0737531,Le bourg,Montcabrier,Ecole primaire de Montcabrier,343.0,2017
44.9898406,1.6634008000000002,Le bourg,Condat,Ecole primaire de Condat,397.0,2016
44.7841401,1.8513429,Le bourg,Aynac,Ecole maternelle d'Aynac,596.0,2016
44.3770903,1.1533354559551101,Le bourg,Belmontet,Ecole maternelle de Belmontet,149.0,2017
44.9971233,1.6389476635401001,Le bourg,Les Quatre-Routes-du-Lot,Ecole maternelle des Quatre-Routes-du-Lot,634.0,2017
