CODGEO,LIBGEO,POPULATION
01283,Oyonnax,22392
01284,Ozan,668
01285,Parcieux,1171
01286,Parves et Nattages,938
01288,Péron,2537
01289,Péronnas,6241
01290,Pérouges,1205
01291,Perrex,810
01293,Peyriat,171
01294,Peyrieu,850
01295,Peyzieux-sur-Saône,651
01296,Pirajoux,393
01297,Pizay,794
01298,Plagne,124
01299,Le Plantay,541
01301,Polliat,2496
01302,Pollieu,159
01303,Poncin,1688
01304,Pont-d'Ain,2867
01305,Pont-de-Vaux,2296
01306,Pont-de-Veyle,1592
01307,Port,851
01308,Pougny,817
01309,Pouillat,91
01310,Prémeyzel,238
01311,Prémillieu,47
01313,Prévessin-Moëns,7860
01314,Priay,1685
01317,Ramasse,312
01318,Rancé,712
01319,Relevant,464
01320,Replonges,3673
01321,Revonnas,938
01322,Reyrieux,4544
01323,Reyssouze,970
01325,Rignieux-le-Franc,972
01328,Romans,597
01329,Rossillon,150
01330,Ruffieu,182
01331,Saint-Alban,175
01332,Saint-André-de-Bâgé,748
01333,Saint-André-de-Corcy,3129
01334,Saint-André-d'Huiriat,579
01335,Saint-André-le-Bouchoux,382
01336,Saint-André-sur-Vieux-Jonc,1128
01337,Saint-Bénigne,1242
01338,Groslée-Saint-Benoit,1193
01339,Saint-Bernard,1436
01341,Saint-Champ,162
01342,Sainte-Croix,559
01343,Saint-Cyr-sur-Menthon,1746
01344,Saint-Denis-lès-Bourg,5530
01345,Saint-Denis-en-Bugey,2293
01346,Saint-Didier-d'Aussiat,886
01347,Saint-Didier-de-Formans,1889
01348,Saint-Didier-sur-Chalaronne,2787
01349,Saint-Éloi,451
01350,Saint-Étienne-du-Bois,2532
01351,Saint-Étienne-sur-Chalaronne,1538
01352,Saint-Étienne-sur-Reyssouze,566
01353,Sainte-Euphémie,1647
01354,Saint-Genis-Pouilly,10824
01355,Saint-Genis-sur-Menthon,473
01356,Saint-Georges-sur-Renon,224
01357,Saint-Germain-de-Joux,507
01358,Saint-Germain-les-Paroisses,426
01359,Saint-Germain-sur-Renon,233
01360,Saint-Jean-de-Gonville,1653
01361,Saint-Jean-de-Niost,1418
01362,Saint-Jean-de-Thurigneux,778
01363,Saint-Jean-le-Vieux,1663
01364,Saint-Jean-sur-Reyssouze,731
01365,Saint-Jean-sur-Veyle,1106
01366,Sainte-Julie,980
01367,Saint-Julien-sur-Reyssouze,714
01368,Saint-Julien-sur-Veyle,779
01369,Saint-Just,907
01370,Saint-Laurent-sur-Saône,1787
01371,Saint-Marcel,1327
01372,Saint-Martin-de-Bavel,434
01373,Saint-Martin-du-Frêne,1076
01374,Saint-Martin-du-Mont,1784
01375,Saint-Martin-le-Châtel,802
01376,Saint-Maurice-de-Beynost,3963
01378,Saint-Maurice-de-Gourdans,2509
01379,Saint-Maurice-de-Rémens,754
01380,Saint-Nizier-le-Bouchoux,682
01381,Saint-Nizier-le-Désert,912
01382,Sainte-Olive,287
01383,Saint-Paul-de-Varax,1476
01384,Saint-Rambert-en-Bugey,2311
01385,Saint-Rémy,991
01386,Saint-Sorlin-en-Bugey,1131
01387,Saint-Sulpice,234
01388,Saint-Trivier-de-Courtes,1097
01389,Saint-Trivier-sur-Moignans,1844
01390,Saint-Vulbas,1194
01391,Salavre,285
01392,Samognat,660
01393,Sandrans,520
01396,Sault-Brénaz,985
01397,Sauverny,1037
01398,Savigneux,1301
01399,Ségny,1969
01400,Seillonnaz,138
01401,Sergy,2015
01402,Sermoyer,694
01403,Serrières-de-Briord,1278
01404,Serrières-sur-Ain,128
01405,Servas,1224
01406,Servignat,176
01407,Seyssel,990
01408,Simandre-sur-Suran,683
01410,Sonthonnax-la-Montagne,321
01411,Souclin,267
