school_code,lat,lon,region_code
0240807X,45.424362,0.8631506,75
0240920V,45.197017200000005,0.7835042,75
0240955H,44.8534568,0.48753100000000005,75
0240990W,44.870418799999996,0.3742764,75
0241013W,44.845628399999995,0.9082579,75
0241115G,45.570555600000006,0.5613889,75
0241123R,45.29233,0.74936,75
0241133B,44.74607125,0.975186732678294,75
0250343M,47.2362653,6.6478649999999995,27
0250395U,47.2574922,6.7027625,27
0020894L,49.06142020000001,3.5731984,32
0020944R,49.09049829999999,3.5358892,32
0021699L,49.84861110000001,3.2863888,32
0140210C,49.2482981,-1.0452622,28
0250935F,47.2785585,6.7352213,27
0260138J,44.5159006,5.2154189,84
0260659A,44.9332277,4.8920810999999995,84
0511234P,48.9894458,4.3154379,44
0511831N,49.328446899999996,3.9453038,44
0512106M,49.0279127,4.2372528,44
0520103E,48.4426265,5.1412535,44
0520609E,48.1435047,5.1444735999999995,44
0520909F,48.2952568,5.2464882093597005,44
0221482S,48.28993035,-2.5260125118511296,53
0221602X,48.6787936,-3.5231644,53
0240271P,45.1909365,0.7184406999999999,75
0240304A,44.8534568,0.48753100000000005,75
0240334H,44.640229999999995,1.03398,75
0240383L,44.90528,0.54942,75
0240402G,45.4287117,0.7046508,75
0240403H,45.32447,0.77998,75
0140379L,49.182800799999995,-0.3690815,28
0140421G,49.182800799999995,-0.3690815,28
0140643Y,48.896474100000006,-0.19991289999999998,28
0140676J,48.878440600000005,-0.160385,28
0141377W,48.84902185,-0.565216636395482,28
0141563Y,49.182800799999995,-0.3690815,28
0141691M,49.2764624,-0.7024738,28
0142016R,49.1129522,-0.47249220000000003,28
0312623H,43.6044622,1.4442469,76
0320247V,43.9218218,0.8012234,76
0320453U,43.6397222,-0.0222222,76
0320464F,43.9752122,0.6099933000000001,76
0240584E,45.1724869,0.7650347839958431,75
0240632G,45.3583333,0.33944440000000003,75
0240682L,44.845628399999995,0.9082579,75
0240716Y,44.83201079999999,1.3100538000000002,75
0241117J,45.138268100000005,0.752132860790254,75
0250495C,47.16835579999999,6.826355199999999,27
0140671D,48.939940899999996,-0.2547982,28
0150174H,44.89699475,2.2321001080992597,84
0142135V,49.369315500000006,0.27486900000000003,28
0142157U,49.24874435,-0.602242244099141,28
0150311G,45.053480799999996,2.1477305,84
0150425F,44.928544099999996,2.4433101,84
0150692W,44.9642272,2.4898166,84
0030330T,46.5660526,3.3331703,84
0320585M,43.646355799999995,0.5850506999999999,76
0550991D,48.645295700000005,5.3394095,44
0160197C,45.323574900000004,0.1899025,75
0030616D,46.1324239,3.4602736000000003,84
0030740N,46.3464789733877,3.8305934422415095,84
0050153P,44.56424570000001,6.4957085,93
0212101V,47.779773399999996,4.8607185,27
0220484G,48.5141594,-2.7602707000000004,53
0560739Z,47.711927100000004,-3.3088391,53
0561415J,48.0647729,-2.9675702,53
0561725W,47.747733600000004,-3.3660907,53
0570406G,49.264743200000005,6.6277712,44
0060231U,43.8119541,7.3146204,93
0221474H,48.74957,-2.9855088,53
