2015-2016	2016-2017	2017-2018	Académie	Adresse	Appellation officielle	Code département	Code postal	Commune	Département	Etat établissement	Latitude	Lieu dit	Longitude	Nombre d'élèves 2015-2016	Nombre d'élèves 2016-2017	Nombre d'élèves 2017-2018	Numéro d'école	Patronyme uai	Secteur d'enseignement	code région	libellé région
yes	no	no	ORLEANS-TOURS	1 rue des Acacias	Ecole maternelle Groupe scolaire Jean Macé 		28400	Nogent-le-Rotrou						57.0			0280543N		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	VERSAILLES	18 Grande rue Grand rue	Ecole Antoine de St.exupery 		91590	Orveau						8.0	5.0		0910160E		PUBLIC	11	Île-de-France
yes	yes	no	TOULOUSE	Le village	Ecole élémentaire Tournan 		32420	Tournan						20.0	22.0		0320313S		PUBLIC	76	Occitanie
yes	no	no	CRETEIL	52 avenue du Bois	Ecole maternelle Paris 		94430	Chennevières-sur-Marne						55.0			0940721Y		PUBLIC	11	Île-de-France
yes	no	no	GRENOBLE	Le bourg	Ecole maternelle de Brézins 		38590	Brézins						73.0			0382478M		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	GRENOBLE	Rue Jean Moulin Cidex 725	Ecole maternelle mas de la Raz 		38090	Villefontaine						83.0			0382587F		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	GRENOBLE	Rue Aimé Paquet	Ecole maternelle Doudard de Lagrée 		38660	Saint-Vincent-de-Mercuze						40.0			0383002G		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	BESANCON	2 rue de Salins	Ecole élémentaire de Lemuy 		39110	Lemuy						42.0			0390454G		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	BESANCON	10 cours Georges Clémenceau	Ecole élémentaire Jeanne d'Arc 		39100	Dole						112.0			0391066X		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	yes	no	VERSAILLES	6 bis avenue de Sequigny	Ecole maternelle Les Erables 		91360	Villemoisson-sur-Orge						87.0	86.0		0911883C		PUBLIC	11	Île-de-France
yes	yes	no	VERSAILLES	3 allée Louvois	Ecole élémentaire la marché 		92430	Marnes-la-Coquette						59.0	63.0		0920758Z		PUBLIC	11	Île-de-France
yes	no	no	ORLEANS-TOURS	20 rue des Tilleuls	Ecole primaire d'Huêtre 		45520	Huêtre						23.0			0450459E		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	TOULOUSE	Rue Pech Barriat	Ecole maternelle de Limogne-en-Quercy 		46260	Limogne-en-Quercy						47.0			0460200T		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le bourg	Ecole primaire d'Anglars 		46120	Anglars						20.0			0460391A		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le bourg	Ecole maternelle de Luzech 		46140	Luzech						62.0			0460523U		PUBLIC	76	Occitanie
yes	no	no	REIMS	6 place de la République	Ecole maternelle d'Aigny 		51150	Aigny						22.0			0510606G		PUBLIC	44	Grand-Est
yes	no	no	REIMS	15 avenue Charles de Gaulle	Ecole maternelle d'application Jean de la Fontaine 		51000	Châlons-en-Champagne						62.0			0510630H		PUBLIC	44	Grand-Est
yes	no	no	REIMS	9 rue Georges Lainé	Ecole maternelle de Broyes 		51120	Broyes						14.0			0511584V		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	3 rue du 8 Mai 1945	Ecole maternelle Irène Joliot-Curie 		54580	Auboué						50.0			0540179B		PUBLIC	44	Grand-Est
yes	no	no	LYON	Rue de la Paix	Ecole maternelle Pasteur 		42160	Andrézieux-Bouthéon						69.0			0420104K		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	5 rue de l'Alcazar	Ecole maternelle Bois de la Barge 		42700	Firminy						73.0	78.0		0420267M		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	LYON	Montée du Docteur Odin	Ecole maternelle Petit Prince 		42330	Saint-Galmier						117.0			0421199A		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	NANCY-METZ	3 rue de Sancy	Ecole élémentaire d'Anderny 		54560	Anderny						14.0			0540157C		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ											19.0			0540211L		PUBLIC	44	Grand-Est
yes	yes	no	STRASBOURG	108 rue du Four	Ecole maternelle de Goxwiller 		67210	Goxwiller						45.0	50.0		0670196Z		PUBLIC	44	Grand-Est
yes	yes	no	BORDEAUX	1 rue François Mitterrand	Ecole maternelle Groupe scolaire J.g Teyssier 		33990	Hourtin						108.0	110.0		0332328B		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	STRASBOURG	4 rue de Saverne	Ecole élémentaire de Gottenhouse 		67700	Gottenhouse						20.0			0671133T		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	15 rue de Haguenau	Ecole maternelle Philippe Chretien Schweitzer 		67350	Pfaffenhoffen						129.0			0671466E		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	17 rue de Phalsbourg	Ecole maternelle de Drulingen 		67320	Drulingen						38.0			0672148W		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	10 rue des écoles	Ecole maternelle de Lembach 		67510	Lembach						56.0			0672152A		PUBLIC	44	Grand-Est
yes	yes	no	STRASBOURG	Rue des écoles	Ecole élémentaire de Wisches 		67130	Wisches						69.0	55.0		0672228H		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	Grande rue	Ecole de Val-et-Châtillon 		54480	Val-et-Châtillon						37.0			0542078R		PUBLIC	44	Grand-Est
yes	no	no	NANTES	6 avenue Victor Hugo	Ecole maternelle de Longué-Jumelles 		49160	Longué-Jumelles						52.0			0490123T		PUBLIC	52	Pays-de-la-Loire
yes	yes	no	TOULOUSE	Le village	Ecole Beaucaire 		32410	Beaucaire						25.0	15.0		0320426P		PUBLIC	76	Occitanie
yes	no	no	STRASBOURG	46 Grand rue	Ecole maternelle Pierre Pflimlin 		67350	Uberach						35.0			0672362D		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	2 rue de l'église	Ecole maternelle de Burnhaupt-le-Bas 		68520	Burnhaupt-le-Bas						75.0			0680649L		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	5 rue de Muespach	Ecole maternelle de Roppentzwiller 		68480	Roppentzwiller						32.0			0680679U		PUBLIC	44	Grand-Est
yes	yes	no	STRASBOURG	57 Grand rue	Ecole maternelle de Kruth 		68820	Kruth						36.0	34.0		0680707Z		PUBLIC	44	Grand-Est
yes	no	no	MONTPELLIER	25 rue Alberti	Ecole maternelle Port Ariane 		34970	Lattes						97.0			0341861N		PUBLIC	76	Occitanie
yes	yes	no	STRASBOURG	4 rue des Roitelets	Ecole maternelle la Colombe 		68500	Issenheim						35.0	50.0		0681455M		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	8 rue des écoles	Ecole maternelle de Wolfgantzen 		68600	Wolfgantzen						28.0			0681518F		PUBLIC	44	Grand-Est
yes	no	no	BESANCON	1 rue de l'Ecole	Ecole de Saint-Germain-en-Montagne 		39300	Saint-Germain-en-Montagne						82.0			0390301R		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	NANTES	5 rue relais du Petit Verger	Ecole maternelle de Noyant 		49490	Noyant						65.0			0491850V		PUBLIC	52	Pays-de-la-Loire
yes	no	no	RENNES	Rue de Botkermarrec	Ecole maternelle du Centre 		56150	Baud						68.0			0560668X		PUBLIC	53	Bretagne
yes	no	no	CLERMONT-FERRAND											11.0			0430256V		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	RENNES	Rue de Galway	Ecole maternelle Jean Paul Sartre 		56100	Lorient						44.0			0561493U		PUBLIC	53	Bretagne
yes	no	no	NANCY-METZ	2 rue Principale	Ecole élémentaire de Berviller-en-Moselle 		57550	Berviller-en-Moselle						12.0			0570770C		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	Rue Saint-Etienne	Ecole maternelle de Wittring 		57905	Wittring						26.0			0570930B		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	106 rue du lac	Ecole élémentaire Diefenbach 		57510	Puttelange-aux-Lacs						9.0			0571701P		PUBLIC	44	Grand-Est
yes	no	no	NANTES	1 rue Victor Marre Penhoet	Ecole primaire Paul Bert 		44600	Saint-Nazaire						102.0			0440866C		PUBLIC	52	Pays-de-la-Loire
yes	no	no	NANTES	69 rue de Cardurand	Ecole primaire Gambetta 		44600	Saint-Nazaire						169.0			0440894H		PUBLIC	52	Pays-de-la-Loire
yes	no	no	NANTES	4 rue de la Mairie	Ecole Le Petit Prince 		49123	Le Fresne-sur-Loire						84.0			0441574X		PUBLIC	52	Pays-de-la-Loire
yes	no	no	LILLE	67 place Charles de Gaulle	Ecole maternelle Henri des 		59870	Vred						48.0			0595107F		PUBLIC	32	Hauts-de-France
yes	no	no	RENNES	16 avenue Jules Tricault	Ecole maternelle Jacques Prévert 		35170	Bruz						134.0			0352436H		PUBLIC	53	Bretagne
yes	no	no	LYON	Route de Saint-Paul	Ecole maternelle Les Pins 		42740	Saint-Paul-en-Jarez						51.0			0421532M		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	LYON	19 rue Ch.gounod	Ecole primaire Montreynaud Gounod 		42000	Saint-Étienne						94.0			0421536S		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	AMIENS	6 rue Marcel Dassault	Ecole élémentaire de Plainville 		60120	Plainville						23.0			0600289N		PUBLIC	32	Hauts-de-France
yes	no	no	BORDEAUX	Le bourg	Ecole de Juxue 		64120	Juxue						17.0			0640925H		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	ORLEANS-TOURS	1 rue Touche	Ecole Cousse 		37210	Vernou-sur-Brenne						58.0			0370184Z		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	TOULOUSE	2 côté de Peyrolle	Ecole maternelle d'Auriac-sur-Vendinelle 		31460	Auriac-sur-Vendinelle						44.0			0312594B		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le village	Ecole élémentaire Montegut sur Arros 		32730	Montégut-Arros						16.0			0320168J		PUBLIC	76	Occitanie
yes	no	no	BORDEAUX	Place Gambetta	Ecole maternelle de Sabres 		40630	Sabres						53.0			0400758G		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	TOULOUSE	18 rue Georges Clémenceau	Ecole maternelle Paul Guth 		65380	Ossun						72.0	73.0		0650749L		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le village	Ecole élémentaire Tillac 		32170	Tillac						16.0			0320309M		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le village	Ecole élémentaire Clermont Pouyguilles 		32300	Clermont-Pouyguillès						5.0			0320489H		PUBLIC	76	Occitanie
yes	yes	no	BORDEAUX	248 rue Berruer	Ecole maternelle d'application Flornoy 		33000	Bordeaux						187.0	194.0		0330258B		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	43 rue des Frères Reclus	Ecole maternelle Pauline Kergomard 		33220	Sainte-Foy-la-Grande						93.0			0330305C		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	LYON	49 rue du Matel	Ecole maternelle Matel 		42300	Roanne						106.0			0420329E		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	NANCY-METZ	22 rue du 18 Juin 1940	Ecole maternelle Bellecroix la Volière 		57070	Metz						46.0			0572537Y		PUBLIC	44	Grand-Est
yes	no	no	MONTPELLIER	Place de l'Eglise	Ecole primaire d'Ur 		66760	Ur						5.0			0660423B		PUBLIC	76	Occitanie
yes	no	no	LILLE	Rue de la Mairie	Ecole primaire RPI 22 		62175	Boisleux-Saint-Marc						21.0			0620575N		PUBLIC	32	Hauts-de-France
yes	no	no	LILLE	Allée de la Loisne	Ecole primaire Marie Curie 		62290	Nœux-les-Mines						112.0			0620982F		PUBLIC	32	Hauts-de-France
yes	no	no	ORLEANS-TOURS	6 rue des Jacobins	Ecole maternelle France  		37000	Tours						65.0			0370284H		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	NANCY-METZ	8 rue des écoles	Ecole maternelle de Nébing 		57670	Nébing						15.0			0572948V		PUBLIC	44	Grand-Est
yes	no	no	BORDEAUX	Le bourg	Ecole de Saint-Just-Ibarre 		64120	Saint-Just-Ibarre						33.0			0641092P		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	GRENOBLE	2 rue de la Mairie	Ecole maternelle Bayard 		38550	Le Péage-de-Roussillon						48.0			0380840G		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	BORDEAUX	10 rue Victor Hugo	Ecole primaire Jules Ferry 		64150	Mourenx						69.0			0641713P		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	TOULOUSE	Larrose	Ecole élémentaire de Tarasteix 		65320	Tarasteix						15.0			0650240H		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le village	Ecole élémentaire de Thermes-Magnoac 		65230	Thermes-Magnoac						22.0			0650447H		PUBLIC	76	Occitanie
yes	no	no	VERSAILLES	Chemin du Bas des Grands Près	Ecole maternelle Claude Monet 		78380	Bougival						145.0			0782494M		PUBLIC	11	Île-de-France
yes	no	no	LILLE	40 rue de la Cavée	Ecole maternelle Henri Barbusse 		62470	Calonne-Ricouart						76.0			0622957C		PUBLIC	32	Hauts-de-France
yes	no	no	POITIERS	Place Louis Jouvet	Ecole maternelle Groupe scolaire E. Pérochon 		79000	Niort						92.0			0790172H		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	CAEN	Le bourg	Ecole élémentaire de Semallé 		61250	Semallé						23.0			0610659K		PUBLIC	28	Normandie
yes	no	no	CAEN	Rue du Champ des Vignes	Ecole maternelle de Saint-Germain-du-Corbéis 		61000	Saint-Germain-du-Corbéis						79.0			0610949A		PUBLIC	28	Normandie
yes	no	no	CAEN	Le bourg	Ecole maternelle de Vrigny 		61570	Vrigny						14.0			0611079S		PUBLIC	28	Normandie
yes	no	no	CAEN	Le bourg	Ecole élémentaire de Rouvres 		14190	Rouvres						29.0			0140342W		PUBLIC	28	Normandie
yes	no	no	CAEN	117 rue d'Authie	Ecole maternelle Authie-Sud 		14000	Caen						98.0			0140375G		PUBLIC	28	Normandie
yes	no	no	CAEN	12 rue du Pont Creon	Ecole maternelle J Guehenno 		14000	Caen						72.0			0140428P		PUBLIC	28	Normandie
yes	no	no	CAEN	Place de l'église	Ecole élémentaire de Soulangy 		14700	Soulangy						23.0			0140665X		PUBLIC	28	Normandie
yes	no	no	AMIENS	8 rue du Bois	Ecole primaire d'Oissy 		80540	Oissy						18.0			0800251N		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	14 rue de Bretagne	Ecole d'Hervilly 		80240	Hervilly						25.0			0800414R		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	13 rue du Bas	Ecole de Millencourt-en-Ponthieu 		80135	Millencourt-en-Ponthieu						27.0			0800618M		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	26 rue Metz l'Evêque	Ecole maternelle Notre-Dame 		80000	Amiens						65.0			0800832V		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	1 place de l'église	Ecole élémentaire Roger Cordonnier 		80540	Saisseval						21.0			0801818S		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	Rue du Docteur Fafet	Ecole maternelle Fafet 		80000	Amiens						46.0			0802059D		PUBLIC	32	Hauts-de-France
yes	no	no	DIJON	4 impasse des écoles	Ecole maternelle d'Héry 		89550	Héry						59.0			0890669U		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	5 place M Muzard	Ecole maternelle d'Aillant-sur-Tholon 		89110	Aillant-sur-Tholon						46.0			0890738U		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	AMIENS	1 rue Principale	Ecole élémentaire de Prévillers 		60360	Prévillers						23.0			0602079J		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS											55.0			0602145F		PUBLIC	32	Hauts-de-France
yes	no	no	DIJON	Rue des écoles	Ecole de Massangis 		89440	Massangis						18.0			0890909E		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	yes	no	DIJON	12 rue du Puits	Ecole maternelle du Puits 		89600	Saint-Florentin						38.0	20.0		0890972Y		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	1 rue de l'Eglise	Ecole primaire de Saint-Bris-le-Vineux 		89530	Saint-Bris-le-Vineux						21.0			0891039W		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	15 rue haute	Ecole élémentaire de Blannay 		89200	Blannay						16.0			0891260L		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	BESANCON	2 rue Ferdinand Anthony	Ecole primaire Urcerey 		90800	Urcerey						24.0			0900255N		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	AIX-MARSEILLE	116 impasse Sévigné	Ecole maternelle Les Ramières 		84700	Sorgues						67.0			0840883D		PUBLIC	93	Provence-Alpes-Côte-d'Azur
yes	no	no	CAEN	Rue Alexandre Lainé	Ecole maternelle Jacques Prévert 		61600	La Ferté-Macé						72.0			0610908F		PUBLIC	28	Normandie
yes	no	no	LILLE	Place Guynemer	Ecole maternelle Georges Guynemer 		62700	Bruay-la-Buissière						17.0			0620345N		PUBLIC	32	Hauts-de-France
yes	no	no	NANTES	Rue de la Croix du Camp	Ecole élémentaire Marceau Bretaud 		85200	Fontenay-le-Comte						63.0			0850313D		PUBLIC	52	Pays-de-la-Loire
yes	no	no	LILLE	22 rue du Général de Gaulle	Ecole maternelle Ferry-Mendès-France 		62720	Rinxent						110.0			0624014B		PUBLIC	32	Hauts-de-France
yes	no	no	BORDEAUX	Le bourg	Ecole élémentaire d'Ainhice-Mongelos 		64220	Ainhice-Mongelos						13.0			0640267T		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	STRASBOURG	6 rue des Anciens Combattants	Ecole maternelle de Chalampé 		68490	Chalampé						34.0	35.0		0681137S		PUBLIC	44	Grand-Est
yes	no	no	CRETEIL	15 rue Saint Nicolas	Ecole élémentaire de Guignes 		77390	Guignes						185.0			0770718M		PUBLIC	11	Île-de-France
yes	yes	no	STRASBOURG	2 A rue de Riquewihr	Ecole maternelle Les Hortensias 		68000	Colmar						24.0	26.0		0681827S		PUBLIC	44	Grand-Est
yes	no	no	CRETEIL	281 rue Jules Ferry	Ecole maternelle de Bray-sur-Seine 		77480	Bray-sur-Seine						64.0			0771307C		PUBLIC	11	Île-de-France
yes	no	no	VERSAILLES	Rue de Paris	Ecole maternelle Les Ormes 		91410	Saint-Cyr-sous-Dourdan						29.0			0911502N		PUBLIC	11	Île-de-France
yes	no	no	STRASBOURG	155 rue de l'Eglise	Ecole Ets Prot 		67130	Wildersbach						14.0			0671287K		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	12 rue de la gare	Ecole maternelle de Russ 		67130	Russ						32.0			0671491G		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	Grand rue	Ecole maternelle de Saales 		67420	Saales						17.0			0671492H		PUBLIC	44	Grand-Est
yes	yes	no	STRASBOURG	Rue des Rochers	Ecole maternelle de Wimmenau 		67290	Wimmenau						30.0	29.0		0672446V		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	7 A rue Principale	Ecole maternelle de Gumbrechtshoffen 		67110	Gumbrechtshoffen						29.0			0672540X		PUBLIC	44	Grand-Est
yes	no	no	VERSAILLES	4 rue Amaury Duval	Ecole maternelle Amaury Duval 		92120	Montrouge						146.0			0922577B		PUBLIC	11	Île-de-France
yes	no	no	LILLE	1 rue Vermeer	Ecole maternelle Paul Verlaine 		59650	Villeneuve-d'Ascq						132.0			0595371T		PUBLIC	32	Hauts-de-France
yes	no	no	PARIS	90 boulevard Vincent Auriol	Ecole maternelle Vincent Auriol 		75013	Paris						49.0			0751310S		PUBLIC	11	Île-de-France
yes	no	no	PARIS	28 rue d'Aubervilliers	Ecole maternelle Aubervilliers S 		75019	Paris						71.0			0755013S		PUBLIC	11	Île-de-France
yes	no	no	AMIENS	8 rue des Déportés	Ecole maternelle de Tartigny 		60120	Tartigny						25.0			0600293T		PUBLIC	32	Hauts-de-France
yes	no	no	LILLE	24 rue des écoles	Ecole maternelle Groupe Céline Harcqz 		59680	Colleret						74.0			0590844X		PUBLIC	32	Hauts-de-France
yes	no	no	LILLE	12 rue de la Paix	Ecole maternelle Jean Macé 		59140	Dunkerque						37.0			0590967F		PUBLIC	32	Hauts-de-France
yes	no	no	LILLE	17 rue Stolberg	Ecole maternelle Charles Perrault 		59155	Faches-Thumesnil						48.0			0591136P		PUBLIC	32	Hauts-de-France
yes	yes	no	ROUEN	45 rue du Ballon	Ecole élémentaire du Catelier 		76590	Le Catelier						19.0	16.0		0760711K		PUBLIC	28	Normandie
yes	no	no	STRASBOURG	3 rue Saint Joseph	Ecole maternelle Les P'tits Lupins Marienthal 		67500	Haguenau						59.0			0670349R		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	7 rue des Juifs	Ecole maternelle la Marelle 		67590	Schweighouse-sur-Moder						43.0			0670350S		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	Rue de la Mairie	Ecole de Frebécourt 		88630	Frebécourt						12.0			0880659N		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	85 rue des Glycines	Ecole primaire de Xaffévillers 		88700	Xaffévillers						26.0			0880811D		PUBLIC	44	Grand-Est
yes	no	no	DIJON	22 rue Albert Camus	Ecole primaire Albert Camus groupe A 		58000	Nevers						104.0			0580041E		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	Le bourg	Ecole primaire de Villapourçon 		58370	Villapourçon						10.0			0580199B		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	Le bourg	Ecole maternelle de Cuncy-lès-Varzy 		58210	Cuncy-lès-Varzy						20.0			0580289Z		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	Rue des Vannes	Ecole maternelle Pierre Malardier 		58130	Urzy						40.0			0580717P		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	27 rue de Saint-Romain	Ecole primaire de Saint-Romain-le-Preux 		89116	Saint-Romain-le-Preux						16.0			0890230S		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	4 rue de l'Eglise	Ecole primaire d'Irancy 		89290	Irancy						13.0			0890301U		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	CRETEIL	1 rue Louise Michel	Ecole maternelle Louise Michel 		77240	Vert-Saint-Denis						89.0			0772082V		PUBLIC	11	Île-de-France
yes	no	no	BESANCON	4 rue de la Mairie	Ecole primaire de Sorans-lès-Breurey 		70190	Sorans-lès-Breurey						36.0			0700732R		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	100 impasse des écoles	Ecole maternelle Jules Pinsard 		71680	Crêches-sur-Saône						128.0			0710176F		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	St Romain des îles	Ecole maternelle de Saint-Symphorien-d'Ancelles 		71570	Saint-Symphorien-d'Ancelles						23.0			0710459N		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	Le bourg	Ecole de Roussillon-en-Morvan 		71550	Roussillon-en-Morvan						10.0			0710663K		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	Le bourg	Ecole de Saint-Didier-sur-Arroux 		71190	Saint-Didier-sur-Arroux						17.0			0710695V		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	NANCY-METZ	13 rue Principale	Ecole élémentaire de Roppeviller 		57230	Roppeviller						9.0			0573456X		PUBLIC	44	Grand-Est
yes	no	no	NANCY-METZ	12 rue de l'Ecole	Ecole maternelle de Sanry-lès-Vigy 		57640	Sanry-lès-Vigy						15.0			0573558H		PUBLIC	44	Grand-Est
yes	no	no	AMIENS	304 chaussée de Rouvroy	Ecole maternelle Rouvroy 		80100	Abbeville						55.0			0800818E		PUBLIC	32	Hauts-de-France
yes	no	no	CRETEIL	2 rue Saint Nicolas	Ecole élémentaire Groupe 1 		77390	Guignes						123.0			0770719N		PUBLIC	11	Île-de-France
yes	no	no	MONTPELLIER	4 rue de l'école maternelle	Ecole maternelle de Nissan-lez-Enserune 		34440	Nissan-lez-Enserune						122.0			0340569J		PUBLIC	76	Occitanie
yes	no	no	CRETEIL	2 rue Louise Michel	Ecole élémentaire Louise Michel 		77240	Vert-Saint-Denis						155.0			0772117H		PUBLIC	11	Île-de-France
yes	no	no	POITIERS	2 chemin des Chateliers	Ecole maternelle Les Minimes 		86100	Châtellerault						52.0			0860212N		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	PARIS	56 rue Boissière	Ecole maternelle Boissière T 		75016	Paris						126.0	120.0		0751265T		PUBLIC	11	Île-de-France
yes	no	no	VERSAILLES	Rue Collin Mamet	Ecole maternelle Louis Blériot 		78530	Buc						49.0			0780520S		PUBLIC	11	Île-de-France
yes	no	no	DIJON	Le bourg	Ecole élémentaire de Maltat 		71140	Maltat						6.0			0711333N		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	NANTES	88 avenue de la République	Ecole primaire Marcel Pagnol 		72400	La Ferté-Bernard						73.0			0720397R		PUBLIC	52	Pays-de-la-Loire
yes	no	no	VERSAILLES	4 rue Cimarosa	Ecole maternelle Le Petit Prince 		78150	Le Chesnay						103.0			0780839N		PUBLIC	11	Île-de-France
yes	yes	no	GRENOBLE	9 place de l'église	Ecole maternelle de Groisy 		74570	Groisy						140.0	140.0		0741201D		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	VERSAILLES	1 rue des Saules	Ecole maternelle Louis Pergaud 		78370	Plaisir						43.0			0780540N		PUBLIC	11	Île-de-France
yes	no	no	POITIERS	Le bourg	Ecole élémentaire de Lorigné 		79190	Lorigné						24.0			0790282C		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	VERSAILLES	Avenue du Plan de l'Eglise	Ecole maternelle Bois de la Garenne 		78960	Voisins-le-Bretonneux						59.0			0781221D		PUBLIC	11	Île-de-France
yes	no	no	ROUEN	1 place de l'Eglise	Ecole élémentaire Le Manoir du Vent 		76460	Blosseville						19.0			0761156U		PUBLIC	28	Normandie
yes	no	no	ROUEN	94 rue Desramé	Ecole maternelle Croix-Blanche 		76620	Le Havre						70.0			0761242M		PUBLIC	28	Normandie
yes	no	no	VERSAILLES	62 rue Paul Déroulède	Ecole élémentaire Paul Bert A 		92270	Bois-Colombes						354.0			0920265N		PUBLIC	11	Île-de-France
yes	no	no	VERSAILLES	13 rue de l'Abbé Derry	Ecole maternelle la Fontaine 		92130	Issy-les-Moulineaux						155.0			0920445J		PUBLIC	11	Île-de-France
yes	no	no	ROUEN	42 rue de la Seine	Ecole élémentaire André Pican 		76430	Tancarville						43.0			0762335A		PUBLIC	28	Normandie
yes	no	no	GRENOBLE	42 rue Centrale	Ecole maternelle Colovry 		74940	Annecy-le-Vieux						78.0			0741327R		PUBLIC	84	Auvergne-et-Rhône-Alpes
