2015-2016	2016-2017	2017-2018	Académie	Adresse	Appellation officielle	Code département	Code postal	Commune	Département	Etat établissement	Latitude	Lieu dit	Longitude	Nombre d'élèves 2015-2016	Nombre d'élèves 2016-2017	Nombre d'élèves 2017-2018	Numéro d'école	Patronyme uai	Secteur d'enseignement	code région	libellé région
yes	no	no	GRENOBLE											44.0			0731407H		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	LILLE	68 rue de l'Epinette	Ecole primaire Marie-Louise Bogart 		59660	Merville						37.0			0591851S		PUBLIC	32	Hauts-de-France
yes	yes	no	GRENOBLE	390 Route des écoles	Ecole maternelle de Sillingy 		74330	Sillingy						116.0	124.0		0741202E		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	GRENOBLE	18 allée du Champ du Poirier	Ecole maternelle d'Alby-sur-Chéran 		74540	Alby-sur-Chéran						114.0	103.0		0741382A		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CLERMONT-FERRAND	15 place de la Liberté	Ecole maternelle Elsa Triolet 		3100	Montluçon						54.0	38.0		0030375S		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	88 rue de l'Arc	Ecole maternelle Camille Claudel 		69400	Villefranche-sur-Saône						106.0	107.0		0691201F		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CAEN	11 rue Southampton	Ecole élémentaire d'Asnelles 		14960	Asnelles						75.0	70.0		0140231A		PUBLIC	28	Normandie
yes	yes	no	CAEN	Le bourg	Ecole maternelle d'Ouilly-du-Houley 		14590	Ouilly-du-Houley						20.0	19.0		0141683D		PUBLIC	28	Normandie
yes	no	no	CRETEIL	49 rue Benoît Malon	Ecole maternelle Benoît Malon 2 		94270	Le Kremlin-Bicêtre						74.0			0941732X		PUBLIC	11	Île-de-France
yes	no	no	AMIENS	Route de Neuilly	Ecole élémentaire de Breny 		2210	Breny						21.0			0020161P		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	13 Grande rue	Ecole élémentaire de Brumetz 		2810	Brumetz						24.0			0020165U		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	Rue du Général Augereau	Ecole élémentaire du Catelet 		2420	Le Catelet						43.0			0020192Y		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	Rue Albert I	Ecole maternelle Groupe scolAire la Résidence 		2300	Chauny						52.0			0020263A		PUBLIC	32	Hauts-de-France
yes	yes	no	AMIENS	8 rue de la Mairie	Ecole maternelle de Courtemont-Varennes 		2850	Courtemont-Varennes						52.0	44.0		0020581W		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	Rue du Presbytère	Ecole élémentaire de Montigny-le-Franc 		2250	Montigny-le-Franc						15.0			0020736P		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	12 rue des Rognons	Ecole élémentaire de Joncourt 		2420	Joncourt						17.0			0020949W		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	Rue de Sains	Ecole élémentaire du Hérie-la-Viéville 		2120	Le Hérie-la-Viéville						21.0			0021119F		PUBLIC	32	Hauts-de-France
yes	no	no	AMIENS	Place d'Alsace Lorraine	Ecole maternelle Groupe scolaire Saint-Waast 		2200	Soissons						116.0			0021195N		PUBLIC	32	Hauts-de-France
yes	no	no	CRETEIL	29 rue Albert 1er	Ecole élémentaire Paul Langevin 		94600	Choisy-le-Roi						517.0			0942080A		PUBLIC	11	Île-de-France
yes	no	no	AMIENS	7 rue Fernand Jumeaux	Ecole élémentaire de Parpeville 		2240	Parpeville						20.0			0021464F		PUBLIC	32	Hauts-de-France
