0320453U;43.6397222;43.6397222;Cahuzac-sur-Adour, Mirande, Gers, Occitanie, France métropolitaine, 32400, France;True
0320464F;43.9752122;43.9752122;Castéra-Lectourois, Condom, Gers, Occitanie, France métropolitaine, 32700, France;True
0240584E;45.1724869;45.1724869;Boulazac, Boulazac Isle Manoire, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France;True
0240632G;45.3583333;45.3583333;Saint-Martial-Viveyrol, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24320, France;True
0240682L;44.8456284;44.8456284;Le Buisson-de-Cadouin, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24480, France;True
0240716Y;44.8320108;44.8320108;Veyrignac, Sarlat-la-Canéda, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24370, France;True
0241117J;45.1382681;45.1382681;Atur, Boulazac Isle Manoire, Périgueux, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24750, France;True
0250495C;47.1683558;47.1683558;Fournet-Blancheroche, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25140, France;True
0140671D;48.9399409;48.9399409;Villers-Canivet, Caen, Calvados, Normandie, France métropolitaine, 14420, France;True
0150174H;44.89699475;44.89699475;Pers, Le Rouget-Pers, Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15290, France;True
0142135V;49.3693155;49.3693155;Genneville, Lisieux, Calvados, Normandie, France métropolitaine, 14600, France;True
0142157U;49.24874435;49.24874435;Martragny, Moulins en Bessin, Bayeux, Calvados, Normandie, France métropolitaine, 14740, France;True
0150311G;45.0534808;45.0534808;Cros-de-Montvert, Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15150, France;True
0150425F;44.9285441;44.9285441;Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15000, France;True
0150692W;44.9642272;44.9642272;Saint-Simon, Aurillac, Cantal, Auvergne-Rhône-Alpes, France métropolitaine, 15130, France;True
0030330T;46.5660526;46.5660526;Moulins, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03000, France;True
0320585M;43.6463558;43.6463558;Auch, Gers, Occitanie, France métropolitaine, 32000, France;True
0441492H;47.2186371;47.2186371;Nantes, Loire-Atlantique, Pays de la Loire, France métropolitaine, France;True
0550991D;48.6452957;48.6452957;Longeaux, Bar-le-Duc, Meuse, Grand Est, France métropolitaine, 55500, France;True
0160197C;45.3235749;45.3235749;Pillac, Angoulême, Charente, Nouvelle-Aquitaine, France métropolitaine, 16390, France;True
0030616D;46.1324239;46.1324239;Cusset, Vichy, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03300, France;True
0030740N;46.3464789733877;46.3464789733877;Le Donjon, Auvergne-Rhône-Alpes, France métropolitaine, 03130, France;False
0050153P;44.5642457;44.5642457;Embrun, Gap, Hautes-Alpes, Provence-Alpes-Côte d'Azur, France métropolitaine, 05200, France;True
0212101V;47.7797734;47.7797734;Recey-sur-Ource, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21290, France;True
0220484G;48.5141594;48.5141594;Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22000, France;True
0560739Z;47.7119271;47.7119271;Riantec, Lorient, Morbihan, Bretagne, France métropolitaine, 56670, France;True
0561415J;48.0647729;48.0647729;Pontivy, Morbihan, Bretagne, France métropolitaine, 56300, France;True
0561725W;47.7477336;47.7477336;Lorient, Morbihan, Bretagne, France métropolitaine, 56100, France;True
0570406G;49.2647432;49.2647432;Rémering, Forbach-Boulay-Moselle, Moselle, Grand Est, France métropolitaine, 57550, France;True
0060231U;43.8119541;43.8119541;Contes, Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06390, France;True
0221474H;48.74957;48.74957;Plouézec, Guingamp, Côtes-d'Armor, Bretagne, France métropolitaine, 22470, France;True
0240180R;44.8106395;44.8106395;Molières, Bergerac, Dordogne, Nouvelle-Aquitaine, France métropolitaine, 24480, France;True
0270336U;49.0738551;49.0738551;Saint-Mards-de-Fresne, Bernay, Eure, Normandie, France métropolitaine, 27230, France;True
